index,num,name,blog or review,blog name,like_count_list,command_count_list,img_count,neighber_count,blog review
0,1,배곧 또잇카페 배곧점,블로그 리뷰,TTOEATCAFE 배곧카페 뷰맛집!,5,6,21,1071,[]
1,2,배곧 또잇카페 배곧점,블로그 리뷰,배곧 한울공원 뷰 [또잇카페] ,7,4,23,191,"['안녕', '주말']"
2,3,배곧 또잇카페 배곧점,블로그 리뷰,배곧카페 TTOEATCAFE 또잇 : 배곧한울공원카페 / 배곧디저트,5,2,30,111,['주말']
3,4,배곧 또잇카페 배곧점,블로그 리뷰,"시흥 배곧카페 또잇카페, 정왕동 신상 디저트 카페",22,18,22,547,[]
4,5,배곧 또잇카페 배곧점,블로그 리뷰,시흥 배곧 카페 추천: 또잇카페,7,1,16,311,"['시댁', '오빠', '어', '님', '셋', '한']"
5,6,배곧 또잇카페 배곧점,블로그 리뷰,배곧디저트카페 또잇카페 TTOEAT CAFE :: 배곧 뷰와 디저트를 한번에,20,28,19,572,"['바람', '거세']"
6,7,배곧 또잇카페 배곧점,블로그 리뷰,(배곧) 일하기 좋은 카페 “또잇카페”,13,6,8,292,['5분']
7,8,배곧 또잇카페 배곧점,블로그 리뷰,"배곧 한울공원뷰 디저트카페 , 또잇카페(TTOEATCAFE)",9,3,33,103,[]
8,9,배곧 또잇카페 배곧점,블로그 리뷰,배곧카페 노을이 예쁜 또잇커피 / 인생샷 가능 뷰맛집,1,0,36,34,[]
9,10,배곧 또잇카페 배곧점,블로그 리뷰,"배곧카페, 배곧디저트 '또잇카페' ",30,10,32,1278,['요새']
10,11,배곧 또잇카페 배곧점,블로그 리뷰,배곧 한울공원 TTOEAT CAFE 또잇 카페 ,4,0,24,63,[]
11,12,배곧 또잇카페 배곧점,블로그 리뷰,시흥 배곧 카페 한울공원 또잇카페 추천 ,114,89,40,4072,"['주말', '만', '쪽']"
12,13,배곧 또잇카페 배곧점,블로그 리뷰,배곧카페 TTOEAT  한울공원뷰 맛있는 커피 뷰 좋은 카페를 찾고 있다면 바리스타가 있는 또잇카페로 ,8,0,36,241,['10월']
13,14,배곧 또잇카페 배곧점,블로그 리뷰,[시흥 배곧카페] 또잇카페 _ 배곧 신상카페,9,0,6,2722,[]
14,15,배곧 또잇카페 배곧점,블로그 리뷰,배곧 한울공원 뷰 맛집 TTOEAT 또잇카페,13,5,11,461,['쉬는']
15,16,배곧 또잇카페 배곧점,블로그 리뷰,배곧 카페 추천 또잇카페 배곧점 ,75,92,29,2413,"['임시', '땜', '넘나', '뭐', '단축', '해서', '했지만', '넘나']"
