,num,name,blog or review,visitor review,label,new_label
518,59.0,배곧 투파인드피터 배곧점,방문자 리뷰,전복 크림 파스타는 같이 주신 소스 찍어 먹었는데 참 맛있었고 봉골 레도 짠 듯 했지만 크림 파스타의 느끼함을 잘 잡아줬어요  다만 해감 이 잘 안 되어 몇 번을 뱉어냈네요  컵에도 이물질이 묻어 있어서 좀 맛있고 가성비도 괜찮아서 상대적으로 단점이 더 아쉽게 다가 왔어 요 맛도 좋고 가성비 있어서 단점이 아쉽게 느껴졌어요 ,2,2
549,90.0,배곧 투파인드피터 배곧점,방문자 리뷰,필라프 추가 주문했더니 밥이 없어서 안 된다고 하여 목살르테이크로 변경해달라고 함  그랬더니 요번엔 바뻐서 안 된다고 함  이럴 꺼면 주문 처음부터 안 된다고 말을 하던 가 브레이크 타임을 가지던가 ,2,2
652,194.0,배곧 투파인드피터 배곧점,방문자 리뷰,서빙 직원 음식을 반쯤 먹었을 때쯤 소스를 가져다 주더니 죄송하단 말 한마디 없이 여기에 나오는 소스인데 먹으라고 불친절 서비스 마인드 없음 ,2,2
670,213.0,배곧 투파인드피터 배곧점,방문자 리뷰,평점이 좋아서 한 1년 전에 방문 했었는데 직원 응대 태도 때문이 정 떨어져서 안 가기로 다짐했어요  반면에 음식은 너무 잘 합니다  그래서 배달시켜 먹습니다  어젠 오랜만에 매장으로 먹으러 갔습니다  직원은 모두 바뀌었지만 서비스제로 응대는 여전하더군 요 이 영수증 리뷰 1점대 사람들이 적어 놓은 것처럼 식전빵 누군주고 누군 안주고 저기요 하면 눈도 안마주치고 그냥 자기 갈 길 가면 서 잠시만요 한 ,2,2
726,269.0,배곧 투파인드피터 배곧점,방문자 리뷰,리뷰 잘 안 쓰는데 굳이 영수증까지 받아와서 작성합니다  스테이크 질 기고 나이프도 잘 안 들어서 먹기 힘들어요  음식 맛을 떠나서 서비스도 별로에요 서빙해주시는 분이 테이블에 접시를 툭하고 두고 여기요라고 하시던데 직원분 교육이 필요한 거 같습니더 ,2,2
1078,621.0,배곧 투파인드피터 배곧점,방문자 리뷰,평일 점심 때가서 그런지 알바생들 교육도 안 한 듯 테이블에 음식을 던져놓고 가는 느낌 기본이 안 되어 있었고 음식도 생각했던 것보다 별로 다신 안 갈 듯합니다 ,2,2
1268,815.0,배곧 투파인드피터 배곧점,방문자 리뷰,마인드가 별로 ,2,2
1357,904.0,배곧 투파인드피터 배곧점,방문자 리뷰,우울한 일요일 기분 좋은 음식을 먹었습니다 ,0,2
1416,44.0,배곧 소쇄원 배곧본점,방문자 리뷰,맛집이라고 해서 갔는데 고기 너무 질기고 직원들은 불친절하고 두 번 다시는 가고 싶지 않습니다  05점도 아깝습니다 ,2,2
1491,120.0,배곧 소쇄원 배곧본점,방문자 리뷰,나 이런 음식점 간 적 없는데 누가 내 아이디 해킹해서 별점 5개 후기 남겨놨더라  여기 불법 리뷰 알바 쓰는 듯 미친 거 아닌가 ,2,2
1498,128.0,배곧 소쇄원 배곧본점,방문자 리뷰,등심엑스 불친절 돈 아까움 ,2,2
1523,154.0,배곧 소쇄원 배곧본점,방문자 리뷰,음식 맛은 나쁘지 않은데 야외 데크에서 고기 궈 먹으면 연기 많이 난다고 말려야죠 손님이 몰라서 앉은 거 같으면 연기 나서 힘들다고 하면서 환풍기 있는 실 내로 안내하는 배려가 있어야지요  그리고 중간에라도 연기 많이 나서 힘들다고 하는데도 나 몰라라 하고 고기 추 가로 6만원 더 시키는 데 자리를 옮겨주시 던지 해야지 같이 갔던 친구들이 연기 잔뜩 마시고 서비스 도 별루라고 이 돈 주고 다시는 ,2,2
1528,159.0,배곧 소쇄원 배곧본점,방문자 리뷰,먼저 불판에 올린 고기 아래에 숨겨둔 지방 덩어리 삼겹살 불판 닦는 고기를 통 삽겹이라고 주 다니요 주인 아조씨 불러서 이 거 삼 겹살 아니라 지방 덩어리라서 바꿔주시면 안 되냐고 물었더니 삼겹살 자르는 방법이 달라서 그럴 뿐 이것도 삼겹살이 다 이 거 삼겹 살 맞다 라고 세 번은 얘기하시길래 아 절대로 바꿔 줄 생각이 없으시구나  싸우기도 싫고 피해자를 줄이고자 리뷰 를 쓰기로 마 ,2,2
1541,173.0,배곧 소쇄원 배곧본점,방문자 리뷰,음식에서 머리카락이랑 철수 세미가 나왔네요 ,2,2
